Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
Shell,2019,https://www.shell.com/about-us/annual-publications/annual-reports-download-centre.html#vanity-aHR0cHM6Ly93d3cuc2hlbGwuY29tL2ludmVzdG9ycy9maW5hbmNpYWwtcmVwb3J0aW5nL2FubnVhbC1wdWJsaWNhdGlvbnMvYW5udWFsLXJlcG9ydHMtZG93bmxvYWQtY2VudHJlLmh0bWw,https://www.shell.com/about-us/annual-publications/annual-reports-download-centre.html#vanity-aHR0cHM6Ly93d3cuc2hlbGwuY29tL2ludmVzdG9ycy9maW5hbmNpYWwtcmVwb3J0aW5nL2FubnVhbC1wdWJsaWNhdGlvbnMvYW5udWFsLXJlcG9ydHMtZG93bmxvYWQtY2VudHJlLmh0bWw,Oil and gas,NLD,public CbCRs,,
Shell,2020,https://reports.shell.com/annual-report/2020/servicepages/download-centre.php,https://reports.shell.com/tax-contribution-report/2020/services/downloads.html,Oil and gas,NLD,Good,,
sumitomo,2020,https://www.smm.co.jp/en/ir/library/integrated_report/pdf/2021/2021_DB_EN.pdf,,,,,,
saipem,2020,https://www.saipem.com/sites/default/files/2022-05/AnnualReport2021.pdf,,,ITA,,,NEW February
Siltronic,2020,https://www.siltronic.com/en/investors/reports-and-presentations.html,,Industry,DEU,Good,,NEW February
Snam,2020,https://www.snam.it/en/Investor_Relations/Reports/Annual_Reports/,https://www.snam.it/en/Investor_Relations/Reports/Annual_Reports/,Infrastructure,ITA,Good,,
Snam,2021,https://www.snam.it/export/sites/snam-rp/repository/ENG_file/investor_relations/reports/annual_reports/2021/SNAM_2021_Annual_Report.pdf,,Infrastructure,ITA,,,April
South32,2020,https://www.south32.net/investors-media/investor-centre/annual-reporting-suite,,Metals and Mining,AUS,Good,,
South32,2021,https://www.south32.net/investors-media/investor-centre/annual-reporting-suite,,Metals and Mining,AUS,Good,,
SGR,2020,https://www.grupposgr.it/wp-content/uploads/2021/07/Bilancio_sostenibilita_2020.pdf,,,ITA,,,April
SSE,2019,https://www.sse.com/investors/reports-and-results/?year=archive,https://www.sse.com/sustainability/reporting/,Utility,GBR,Good,,
SSE,2020,https://www.sse.com/investors/reports-and-results/?year=2019/20,https://www.sse.com/sustainability/reporting/,Utility,GBR,Good,,
sjp,2019,https://www.sjp.co.uk/sites/sjp-corp/files/SJP/reports-presentation/2020/cbcr-tax-jurisdiction-2020.pdf,,,,,,
Standard Chartered,2020,https://www.sc.com/en/investors/financial-results/,https://www.sc.com/en/investors/capital-requirements-directive/,Bank,GBR,Bad,Bad because bank,
Swiss Re,2020,https://reports.swissre.com/2020/,,Insurance,CHE,Good,,
Swiss Re,2021,https://www.swisslife.com/content/dam/com_rel/dokumente/tax-policy/SwissLife_Tax-Policy_Transparency_Report_2021.pdf,,,,,,
Swisslife,2020,https://www.swisslife.com/en/home/investors/results-and-reports.id-41d56dc9-bd95-9550-9ebb-cfd003b16bd9.html,,Insurance,CHE,Good,,
Tasty Bidco,2019,Google,,Service,ESP,Bad,"Only two variables and not the most relevant, and below 750m",NEW February
Tasty Bidco,2020,Google,,Service,ESP,Bad,"Only two variables and not the most relevant, and below 750m",NEW February
Teck,2019,https://www.teck.com/investors/financial-reports/,https://www.teck.com/investors/financial-reports/,Metals and Mining,CAN,Good,,
Teck,2020,https://www.teck.com/media/2021-Sustainability-Report.pdf,,,,,,
Telefonica,2019,https://www.telefonica.com/en/shareholders-investors/financial-reports/annual-report/,https://www.telefonica.com/en/shareholders-investors/financial-reports/annual-report/,Telecommunications,ESP,Good,,
Telenor,2020,https://www.telenor.com/sustainability/reporting/reports-and-studies-archive/,,Telecommunications,NOR,Bad,Less variables,NEW February
Telenor,2018,https://www.telenor.com/investors/reports/annual-reports/,https://www.telenor.com/sustainability/reporting/reports-and-studies-archive/,Telecommunications,NOR,Good,,NEW February
Telenor,2019,https://www.telenor.com/sustainability/reporting/reports-and-studies-archive/,,Telecommunications,NOR,Good,,NEW February
Terna Spa,2020,https://www.terna.it/en/general-archive#/2020,https://www.terna.it/en/general-archive#/2020,Utility,ITA,Good,,
TIM,2020,https://www.gruppotim.it/en/investors/reports-presentations/sustainability-report/sustainability-reports.html https://www.gruppotim.it/content/dam/gt/sostenibilit%C3%A0/doc-bilanci/Bilancio-di-Sostenibilita-2021.pdf,,Telecommunications,ITA,Bad,Only one variable,NEW February
TKH,2020,,,Telecommunications,NLD,Bad,Continental aggregation,
TotalEnergies,2020,https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2022-03/Tax_transparency_report_2019_2020.pdf,,,FRA,,,
TotalEnergies,2019,https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2022-03/Tax_transparency_report_2019_2020.pdf,,,FRA,,,
Unilever,2020,https://www.unilever.com/investors/annual-report-and-accounts/archive-of-annual-report-and-accounts/,https://www.unilever.com/planet-and-society/responsible-business/responsible-taxpayer/,Consumer goods,NLD,Bad,Major variables missing,
uniper,2021,https://www.uniper.energy/sites/default/files/2022-06/Uniper_Tax_Transparency_Report21_en.pdf,,,,,,
Usiminas,2020,https://www.usiminas.com/wp-content/uploads/hotsites_portal_sap/RelatorioDeSustentabilidade2017/index-en.html,,Metals and Mining,BRA,Good,,NEW February
Vedanta,2021,,,Metals and Mining,IND,Bad,Non CBCR format,
Vodafone,2017,https://investors.vodafone.com/reports-information/results-reports-presentations,https://www.vodafone.com/about-vodafone/reporting-centre/tax-and-economic-contribution,Telecommunications,GBR,Good,,
Vodafone,2018,https://investors.vodafone.com/reports-information/results-reports-presentations,https://www.vodafone.com/about-vodafone/reporting-centre/tax-and-economic-contribution,Telecommunications,GBR,public CbCRs,You classified it as 2017?,
Vodafone,2019,https://investors.vodafone.com/reports-information/results-reports-presentations,https://www.vodafone.com/about-vodafone/reporting-centre/tax-and-economic-contribution,Telecommunications,GBR,Good,,
Vodafone,2020,https://investors.vodafone.com/reports-information/results-reports-presentations,https://www.vodafone.com/about-vodafone/reporting-centre/tax-and-economic-contribution,Telecommunications,GBR,Good,,
Wesfarmers,2020,https://www.annualreports.com/Company/Wesfarmers-Ltd,,Chemicals,AUS,Good,,
Yara,2019,https://www.yara.com/investor-relations/reports-presentations-2019/,https://www.yara.com/investor-relations/reports-presentations-2019/,Metals and Mining,NOR,Good,,
SOL,2020,https://www.solgroup.com/en/sustainability/sustainability-report,,Chemicals,ITA,,,New May
Yara,2020,https://www.yara.com/investor-relations/reports-and-presentations-2020/,https://www.yara.com/investor-relations/reports-and-presentations-2020/,Metals and Mining,NOR,Good,,
