Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
Atlantia,2019,https://www.atlantia.com/en/investors/results?p_p_id=com_liferay_asset_categories_navigation_web_portlet_AssetCategoriesNavigationPortlet_INSTANCE_fqcqJ1RkMR2T&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_r_p_resetCur=false&p_r_p_categoryId=157006,https://www.atlantia.com/en/investors/results?p_p_id=com_liferay_asset_categories_navigation_web_portlet_AssetCategoriesNavigationPortlet_INSTANCE_fqcqJ1RkMR2T&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_r_p_resetCur=false&p_r_p_categoryId=157006,Infrastructure,ITA,Good,,
Atlantia,2021,https://www.atlantia.com/documents/37344/143535/Atlantia_Integrated_Report_2021.pdf/575df0ac-16f6-bc4a-62b3-dbdff065b86c?t=1651218959542,,,,,,
AXA,2018,https://www.axa.com/en/press/publications/2018-annual-report,,Insurance,FRA,Good,,
AXA,2019,https://www.axa.com/en/press/publications/2019-annual-report,https://www.axa.com/en/about-us/tax-strategy,Insurance,FRA,Good,,
AXA,2020,https://www.axa.com/en/press/publications/2020-annual-report,https://www.axa.com/en/about-us/tax-strategy,Insurance,FRA,Good,,
Barloworld,2021,https://www.barloworld.com/investors/integrated-reports/,,Service,ZAF,Good,,NEW February
Berenberg,2019,https://www.berenberg.de/en/publications/,https://www.berenberg.de/en/publications/,Bank,GER,Bad,Only german and bad because its a bank,
Berenberg,2020,https://www.berenberg.de/en/publications/,https://www.berenberg.de/en/publications/,Bank,GER,Bad,Only german and bad because its a bank,
BHP,2020,https://www.bhp.com/investors/annual-reporting/past-reports,,Metals and Mining,AUS,Good,,
BP,2019,https://www.bp.com/en/global/corporate/investors/results-and-reporting/annual-report/annual-reporting-archive.html#tab_13,https://www.bp.com/en/global/corporate/sustainability/reporting-centre-and-archive/archive.html#tab_2019,Oil and gas,GBR,Good,,
BP,2020,https://www.bp.com/en/global/corporate/investors/results-and-reporting/annual-report/annual-reporting-archive.html#tab_13,https://www.bp.com/en/global/corporate/sustainability/our-approach-to-sustainability/tax-transparency.html,Oil and gas,GBR,Good,,
BT Group,2018,https://www.bt.com/about/investors/financial-reporting-and-news/annual-reports/archived-reports,https://www.bt.com/about/digital-impact-and-sustainability/our-approach/our-policies-and-report/tax-strategy,Telecommunications,GBR,Bad,CbCR is from 2018,
BT Group,2019,https://www.bt.com/about/investors/financial-reporting-and-news/annual-reports/archived-reports,https://www.bt.com/about/digital-impact-and-sustainability/our-approach/our-policies-and-report/tax-strategy,Telecommunications,GBR,Bad,CbCR is from 2019,
