mnc,year,empty,sector,upe_code,upe_name,upe_region,upe_tax_haven,upe_lat,upe_lon,upe_fj,jur_code,jur_name,jur_region,jur_tax_haven,jur_lat,jur_lon,profit_before_tax,tax_accrued,tax_paid,employees,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,tangible_assets,total_revenues,currency
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,367000000,51000000,-700000,20860,NA,NA,NA,NA,NA,2673000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,75000000,-8000000,-100000,428,NA,NA,NA,NA,NA,12000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,54000000,19000000,7100000,1978,NA,NA,NA,NA,NA,238000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,33000000,13000000,0,1704,NA,NA,NA,NA,NA,881000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,POL,Poland,Europe,FALSE,52,20,19000000,4000000,1400000,1523,NA,NA,NA,NA,NA,335000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,SAU,Saudi Arabia,Asia,FALSE,25,45,10000000,6000000,6600000,131,NA,NA,NA,NA,NA,329000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PRT,Portugal,Europe,FALSE,39.5,-8,9000000,7000000,5200000,2015,NA,NA,NA,NA,NA,152000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,-8000000,-16000000,200000,390,NA,NA,NA,NA,NA,44000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,-41000000,-6000000,0,184,NA,NA,NA,NA,NA,71000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,-44000000,-100000,100000,1379,NA,NA,NA,NA,NA,327000000,EUR
ACCIONA,2020,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,OTHER,Other,NA,FALSE,NA,NA,35000000,27000000,24800000,7763,NA,NA,NA,NA,NA,1409000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,525000000,26000000,30900000,20139,NA,NA,NA,NA,NA,3134000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,-75000000,8000000,100000,430,NA,NA,NA,NA,NA,11000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,49000000,24000000,10300000,2524,NA,NA,NA,NA,NA,254000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,-3000000,7000000,100000,2759,NA,NA,NA,NA,NA,1433000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,POL,Poland,Europe,FALSE,52,20,26000000,6000000,5000000,1501,NA,NA,NA,NA,NA,337000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,SAU,Saudi Arabia,Asia,FALSE,25,45,22000000,6000000,6700000,160,NA,NA,NA,NA,NA,409000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PRT,Portugal,Europe,FALSE,39.5,-8,18000000,6000000,2700000,1610,NA,NA,NA,NA,NA,180000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,28000000,10000000,3600000,1614,NA,NA,NA,NA,NA,204000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,4000000,26000000,200000,200,NA,NA,NA,NA,NA,155000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,-76000000,8000000,200000,1193,NA,NA,NA,NA,NA,395000000,EUR
ACCIONA,2021,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,OTHER,Other,NA,FALSE,NA,NA,56000000,59000000,22400000,9532,NA,NA,NA,NA,NA,1593000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,1197000000,250000000,120700000,20778,NA,NA,NA,NA,NA,4925000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,-197000000,-11000000,50000,277,NA,NA,NA,NA,NA,23000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,73000000,25000000,28600000,2782,NA,NA,NA,NA,NA,355000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,5000000,8000000,300000,2921,NA,NA,NA,NA,NA,1637000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,POL,Poland,Europe,FALSE,52,20,15000000,3000000,4300000,1567,NA,NA,NA,NA,NA,402000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PHL,Philippines,Asia,FALSE,13,122,23000000,7000000,5900000,352,NA,NA,NA,NA,NA,141000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,ITA,Italy,Europe,FALSE,42.8333,12.8333,31000000,23000000,22700000,577,NA,NA,NA,NA,NA,143000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,55000000,19000000,4400000,3830,NA,NA,NA,NA,NA,432000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,-82000000,-60000000,1200000,222,NA,NA,NA,NA,NA,125000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,-5000000,8000000,600000,862,NA,NA,NA,NA,NA,432000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CHL,Chile,South America,FALSE,-30,-71,-111000000,-11000000,100000,3228,NA,NA,NA,NA,NA,517000000,EUR
ACCIONA,2022,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,OTHER,Other,NA,FALSE,NA,NA,-136000000,-10000000,25000000,8496,NA,NA,NA,NA,NA,2057000000,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,592371000,NA,-4213000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,300240000,NA,94031000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ZAF,South Africa,Africa,FALSE,-29,24,-27091000,NA,48000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,MYS,Malaysia,Asia,FALSE,2.5,112.5,-92137000,NA,57000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,5435000,NA,1579000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,3198000,NA,666000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,PRT,Portugal,Europe,FALSE,39.5,-8,77000,NA,127000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,FRA,France,Europe,FALSE,46,2,189000,NA,281000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,20042000,NA,1869000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ITA,Italy,Europe,FALSE,42.8333,12.8333,2013000,NA,2923000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,GBR,United Kingdom,Europe,FALSE,54,-2,797000,NA,112000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,SWE,Sweden,Europe,FALSE,62,15,-210000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CHE,Switzerland,Europe,TRUE,47,8,-338000,NA,3000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,AUT,Austria,Europe,FALSE,47.3333,13.3333,748000,NA,50000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,POL,Poland,Europe,FALSE,52,20,1017000,NA,335000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CHL,Chile,South America,FALSE,-30,-71,457000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ARG,Argentina,South America,FALSE,-34,-64,366000,NA,14000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,BEL,Belgium,Europe,TRUE,50.8333,4,752000,NA,140000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,RUS,Russia,Europe,FALSE,60,100,216000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,TUR,Turkey,Asia,FALSE,39,35,607000,NA,118000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,105000,NA,38000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,COL,Colombia,South America,FALSE,4,-72,17000,NA,69000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,PER,Peru,South America,FALSE,-10,-76,76000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,234000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CHN,China,Asia,FALSE,35,105,4006000,NA,796000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,HKG,Hong Kong,Asia,TRUE,22.25,114.1667,-221000,NA,-5000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,JPN,Japan,Asia,FALSE,36,138,1152000,NA,84000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,KOR,South Korea,Asia,FALSE,37,127.5,423000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,SGP,Singapore,Asia,TRUE,1.3667,103.8,-41000,NA,62000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,IND,India,Asia,FALSE,20,77,-75000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ARE,United Arab Emirates,Asia,FALSE,24,54,77000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,LUX,Luxembourg,Europe,TRUE,49.75,6.1667,1016000,NA,1000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,361378000,NA,-23608000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,610362000,NA,145688000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ZAF,South Africa,Africa,FALSE,-29,24,78732000,NA,5261000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,MYS,Malaysia,Asia,FALSE,2.5,112.5,324000,NA,60000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,6403000,NA,1777000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,5734000,NA,1640000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,PRT,Portugal,Europe,FALSE,39.5,-8,1208000,NA,-13000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,FRA,France,Europe,FALSE,46,2,6746000,NA,143000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,28497000,NA,2642000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ITA,Italy,Europe,FALSE,42.8333,12.8333,2210000,NA,358000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,GBR,United Kingdom,Europe,FALSE,54,-2,897000,NA,81000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,SWE,Sweden,Europe,FALSE,62,15,1661000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CHE,Switzerland,Europe,TRUE,47,8,137000,NA,4000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,AUT,Austria,Europe,FALSE,47.3333,13.3333,914000,NA,225000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,POL,Poland,Europe,FALSE,52,20,1275000,NA,93000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CHL,Chile,South America,FALSE,-30,-71,2458000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ARG,Argentina,South America,FALSE,-34,-64,935000,NA,116000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,BEL,Belgium,Europe,TRUE,50.8333,4,978000,NA,517000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,RUS,Russia,Europe,FALSE,60,100,-65000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,TUR,Turkey,Asia,FALSE,39,35,1313000,NA,102000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,28000,NA,17000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,COL,Colombia,South America,FALSE,4,-72,-121000,NA,1000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,PER,Peru,South America,FALSE,-10,-76,17000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,255000,NA,86000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,CHN,China,Asia,FALSE,35,105,3365000,NA,895000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,HKG,Hong Kong,Asia,TRUE,22.25,114.1667,-350000,NA,-5000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,JPN,Japan,Asia,FALSE,36,138,1639000,NA,467000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,KOR,South Korea,Asia,FALSE,37,127.5,1020000,NA,-218000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,SGP,Singapore,Asia,TRUE,1.3667,103.8,-240000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,IND,India,Asia,FALSE,20,77,-51000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,ARE,United Arab Emirates,Asia,FALSE,24,54,-76000,NA,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,FALSE,Metals & Metal Products,ESP,Spain,Europe,FALSE,40,-4,FJ,LUX,Luxembourg,Europe,TRUE,49.75,6.1667,0,NA,506000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,-1165702000,NA,117455000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,546727000,NA,-154410000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,65504000,NA,49474000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,-74849000,NA,3533000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,49638000,NA,27842000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,IDN,Indonesia,Asia,FALSE,-5,120,252258000,NA,73399000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PER,Peru,South America,FALSE,-10,-76,58092000,NA,23141000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,157964000,NA,22475000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,GBR,United Kingdom,Europe,FALSE,54,-2,16738000,NA,-2420000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,90282000,NA,-2242000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CHL,Chile,South America,FALSE,-30,-71,-21959000,NA,2509000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PRT,Portugal,Europe,FALSE,39.5,-8,10382000,NA,3145000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,SGP,Singapore,Asia,TRUE,1.3667,103.8,-24528000,NA,18100000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,ARG,Argentina,South America,FALSE,-34,-64,7917000,NA,596000,NA,NA,NA,NA,NA,NA,NA,EUR
